,PR1,PR2,ROC1,ROC2,/,%PR2,%ROC2
email-Eu,0.9487726904856256,0.9476403245767252,0.8818125525905411,0.8762595612690489,,-0.11935060107188974,-0.6297246852722783
email-Enron,0.9670653819366876,0.969682528831412,0.9146537842190016,0.9205582393988192,,0.27062770972975725,0.6455399061032893
contact-high-school,0.9729222918944168,0.9732495677570908,0.9295659295659296,0.9301801801801802,,0.033638438074726634,0.06607929515418108
contact-primary-school,0.9676739062967612,0.9754110654066648,0.9100449775112444,0.933616525070798,,0.7995626480735948,2.5901519311733523
DAWN,0.9710111906575772,0.97129120790438,0.922405537738772,0.9231992408877708,,0.02883769512616962,0.08604709279439689
NDC-classes,0.8438999865232961,0.9035148985987208,0.6076190476190477,0.7879365079365079,,7.064215313123351,29.67607105538137
tags-ask-ubuntu,0.9081768890144918,0.8982864624887805,0.7958163414710456,0.7693670542861077,,-1.0890418645693414,-3.3235416020795787
tags-math-sx,0.942998603344733,0.9430150465038488,0.8685313739572992,0.8686640280411799,,0.0017437098058950284,0.015273378470639722
threads-ask-ubuntu,0.8089161679970862,0.8833691189696399,0.4984889581409664,0.7717982937057557,,9.204037935958507,54.82756059112164
