,PR1,PR2,ROC1,ROC2,/,%PR2,%ROC2
email-Eu,0.5356221882510556,0.8452942002587502,0.7685711254512713,0.9184936387325372,,57.81538158806557,19.506654402770874
email-Enron,0.4246694010411544,0.7623784597307919,0.5736012807549714,0.8641304347826088,,79.52281418479461,50.65001836210062
contact-high-school,0.5381812373615387,0.8898637377536717,0.7524142847883856,0.9191457644695056,,65.3464810695138,22.159531398053225
contact-primary-school,0.4975032692049534,0.8624864315896049,0.7258925260871869,0.9015837703268179,,73.36296763796575,24.20347887953443
DAWN,0.5604547570392526,0.7222908062946476,0.7916397230248708,0.8929005401687178,,28.8758454135238,12.79127539948695
