,PR1,PR2,PR3,ROC1,ROC2,ROC3,/,%PR2,%PR3,%ROC2,%PR3.1,%ROC3
email-Eu,0.9626818807135248,0.9636419729373203,0.9684523219587964,0.7381271626297579,0.7444204152249134,0.7724264705882352,,0.09973099556876118,0.4991842568680882,0.8525973455216466,,3.7621288710708254
email-Enron,0.9606293382271652,0.964824335937788,0.9686909084186696,0.6302083333333334,0.6666666666666667,0.6979166666666666,,0.4366926496711567,0.4007540374822004,5.785123966942152,,4.687499999999981
DAWN,0.9752867714251964,0.9754596322722999,0.9755398065062628,0.8151063006464536,0.8159815168897387,0.8169300607432265,,0.01772410455758142,0.008219123714646179,0.10737449122783126,,0.11624575236744275
NDC-classes,0.9067616279656704,0.9051841273742256,0.9002490150314162,0.30851063829787234,0.3085106382978723,0.3031914893617021,,-0.17397081468740802,-0.5452053558567441,-1.799326970944219e-14,,-1.7241379310344764
tags-ask-ubuntu,0.9618663789413001,0.9624431880322136,0.9627398037996804,0.7259160910128191,0.7316899586160726,0.7330864333660552,,0.05996769442637016,0.03081904170087388,0.7953904968820327,,0.19085607688588785
tags-math-sx,0.9662508164256841,0.9675657079305438,0.9682774693118312,0.7429353076459755,0.7517167925849043,0.756072942388968,,0.13608180014001253,0.07356207185244441,1.1819986004909857,,0.5794934803949747
threads-ask-ubuntu,0.9732539805734978,0.9732539805734978,0.9732539805734978,0.7709058383476988,0.7709058383476988,0.7709058383476988,,0.0,0.0,0.0,,0.0
