,PR1,PR2,PR3,ROC1,ROC2,ROC3,/,%PR2,%PR3,%ROC2,%PR3.1,%ROC3
email-Eu,0.9910202119988272,0.99093312091215,0.9917576944943836,0.9738604297807684,0.9735728239635336,0.9749782939005859,,-0.008788023253480538,0.08321182982303765,-0.02953254988493393,,0.14436207569255408
email-Enron,0.920332245293737,0.9486875872034836,0.9503290447124594,0.8020833333333334,0.84375,0.8463541666666667,,3.080989724607187,0.1730240314216047,5.19480519480519,,0.3086419753086508
DAWN,0.9199831877776888,0.955945425347852,0.9552369542278232,0.8203274403973415,0.8920723620205211,0.8907476192855439,,3.909010300180964,-0.07411208854012039,8.745888298997839,,-0.14850171257146358
NDC-classes,0.7098228018580665,0.7290878806495935,0.7249847534881906,0.3146696528555431,0.5834266517357223,0.5531914893617021,,2.7140687423815995,-0.5627753896755462,85.40925266903915,,-5.1823416506717805
tags-ask-ubuntu,0.8958487570682862,0.9304373909100768,0.9317232425681296,0.7524173918965622,0.8329374018010138,0.8363768874968008,,3.8609903255303664,0.13819862256341764,10.701508334554957,,0.412934476030251
tags-math-sx,0.9364352698302548,0.9547173779259136,0.9570051502129068,0.8522080645677361,0.8891262447044453,0.8895641027116346,,1.9523087910788128,0.23962822295781186,4.33206181350034,,0.04924587591436527
threads-ask-ubuntu,0.6892105684487665,1.0000000000000002,1.0,0.2469255637469216,1.0,1.0,,45.09353828551117,-2.2204460492503124e-14,304.9803450180305,,0.0
