,PR1,PR2,ROC1,ROC2,/,%PR2,%ROC2
email-Eu,0.961577105299944,0.9909878935165364,0.7694557885559583,0.9241881949861576,,3.058599050922537,20.109330351596466
email-Enron,0.9511693019055996,0.9702115524280892,0.6293995859213249,0.7556935817805384,,2.0019832940718194,20.06578947368424
contact-high-school,0.984144016741502,0.9930788073248906,0.8624078624078624,0.936936936936937,,0.907874298008914,8.641975308641989
contact-primary-school,0.9540612893737792,0.9897070174163168,0.6487491548343476,0.8972278566599053,,3.736209448968897,38.30119854090671
DAWN,0.9655923932842608,0.9894976753259253,0.7918208547294495,0.9103154405255988,,2.475711512220556,14.964822546463056
NDC-classes,0.9577450735227586,0.9888646640969314,0.6283068783068783,0.8835978835978836,,3.2492561365739365,40.63157894736843
tags-ask-ubuntu,0.9648953769558141,0.9831583588746012,0.7969642746932218,0.8605029512713507,,1.8927421930868569,7.972587805468067
tags-math-sx,0.9809233728048192,0.9912457947197066,0.8564438020061721,0.9251619427031816,,1.0523168476832017,8.023660225696187
threads-ask-ubuntu,0.8755630316234935,0.8741165371830567,0.3065212373037858,0.30531894429055095,,-0.16520734523871258,-0.39223807910029396
