,PR1,PR2,PR3,ROC1,ROC2,ROC3,/,%PR2,%PR3,%ROC2,%PR3.1,%ROC3
email-Eu,0.3581925135916354,0.3585294481262873,0.3951524690630829,0.6059606862168057,0.6107900841325347,0.643652840771388,,0.09406520847503637,10.214787412356618,0.7969820527269492,,5.380368393754481
email-Enron,0.3954058060443841,0.3950513131342313,0.41752928958326174,0.6669303797468354,0.667128164556962,0.6847310126582278,,-0.08965293496805403,5.689887794751573,0.02965599051007903,,2.6386006522383565
DAWN,0.5136955585768739,0.5146112925649323,0.5154041840817603,0.7369831909210773,0.7374469130708725,0.7376011350603233,,0.17826394890299682,0.15407580989449168,0.06292167250322478,,0.02091296155930718
NDC-classes,0.6530866544302554,0.6661437055813351,0.6964826766216509,0.6932169485360975,0.7011274777232224,0.7171303873431534,,1.9992831062319745,4.554418331377816,1.141133263378795,,2.2824536376605007
tags-ask-ubuntu,0.4061587633268531,0.4222419375673108,0.4487403933342553,0.6918965682008947,0.6998099015989176,0.7083279318440626,,3.959824505255088,6.275657013041317,1.1437162376162051,,1.2171920153863316
tags-math-sx,0.5614185218444703,0.5957542568847347,0.6270066258746829,0.7643807405329479,0.7871734124970924,0.7984387525848341,,6.11588925271982,5.245849044095854,2.981848018338712,,1.4311128791819208
threads-ask-ubuntu,0.8554942695008328,0.9042684949326122,0.9041091243292915,0.8799143732924635,0.9441722068163064,0.9440197138771138,,5.701291892958945,-0.017624256978298832,7.302737115590338,,-0.016150966750738613
