,PR1,PR2,PR3,ROC1,ROC2,ROC3,/,%PR2,%PR3,%ROC2,%PR3.1,%ROC3
email-Eu,0.4540881247013498,0.5003914941268288,0.6702871202359124,0.7093646193771627,0.7505847750865052,0.8236038062283737,,10.197000737672315,33.952540781203204,5.810855881920745,,9.728285673454144
email-Enron,0.5227491849056206,0.5451404415029978,0.6196048476892323,0.7126186708860759,0.721123417721519,0.7385284810126582,,4.283365186197237,13.659673822938164,1.1934499028587393,,2.4136039495337327
DAWN,0.6010059015364363,0.6071323356914518,0.6445449789554383,0.7952156152721509,0.7970127089844969,0.8090253641877273,,1.0193633938291768,6.1621892072966205,0.2259882323526826,,1.5072099939957198
NDC-classes,0.5454315318075543,0.5517555614386331,0.5594479258242087,0.5241373145002682,0.5311997139281245,0.5369211514392992,,1.159454351698561,1.3941616402594388,1.3474330547501274,,1.0770784247728091
tags-ask-ubuntu,0.5068589327056481,0.5436359923188887,0.559952433528663,0.7895437137423491,0.8026739317017848,0.8062280598704523,,7.255876781518308,3.0013541119998712,1.6630134254631612,,0.44278604652480097
tags-math-sx,0.706432147913729,0.7074493349103746,0.7213426093249605,0.8630797113101618,0.873949771416554,0.8787913132172717,,0.1439893413188607,1.9638543325998017,1.2594503107820023,,0.553983988447085
threads-ask-ubuntu,0.733155717936555,0.7648120385987515,0.7648120385987515,0.8003976349498442,0.8661983382113988,0.8661983382113988,,4.317816786765608,0.0,8.221001710690706,,0.0
