,PR1,PR2,PR3,ROC1,ROC2,ROC3,/,%PR2,%PR3,%ROC2,%PR3.1,%ROC3
email-Eu,0.2331401834452351,0.4114364288922941,0.8452010994546553,0.7516509495204792,0.8781658977599279,0.9281598388325312,,76.4759823091333,105.42689954075804,16.831608916367355,,5.692995047989272
email-Enron,0.2656631049573239,0.3192603830509145,0.8350622561356387,0.7383432539682541,0.8298611111111112,0.9378472222222224,,20.174904641802033,161.56150291984898,12.395028552233784,,13.012552301255234
DAWN,0.20551212519303247,0.4716630053125422,0.7191249064164678,0.7719132076590699,0.8855261936475557,0.8994652177851548,,129.50616897641467,52.46582799936742,14.718362746121723,,1.5740950677227368
NDC-classes,0.06755276546145482,0.11172825665692976,0.8109398031148051,0.2997057492077864,0.4163196016296967,0.9153689452240832,,65.39405292101802,625.8144245505041,38.90944792689368,,119.8716903169684
tags-ask-ubuntu,0.1843189369953398,0.4089550923955667,0.4632679802031526,0.7697790259860989,0.8120644876703943,0.8140433069936895,,121.8736170369225,13.280892894482195,5.493194833429897,,0.24367760853229425
tags-math-sx,0.4633157216204544,0.7193278329269593,0.7404402940416576,0.8721886726280083,0.9180372861574684,0.9192484491930428,,55.25651286148856,2.9350263048756497,5.256731137233494,,0.13192961264610215
threads-ask-ubuntu,0.10532479931637023,0.1342754257553681,0.13425299037041563,0.22279055676502785,0.5089523899193422,0.5089520696707268,,27.48699890900071,-0.016708481709339845,128.4443278518859,,-6.292309884916581e-05
