,PR1,PR2,ROC1,ROC2,/,%PR2,%ROC2
email-Eu,0.8463313280713781,0.8472444811063643,0.9136085127061421,0.9095287778524159,,0.10789545473485848,-0.4465517557013123
email-Enron,0.8005887164252934,0.8007189121997511,0.9030586450960566,0.9023003033367036,,0.016262504302965525,-0.08397480755772962
contact-high-school,0.8691388348692834,0.8748911112275811,0.9299443848180312,0.9348229095521514,,0.6618363059525236,0.5246039240373305
contact-primary-school,0.9015216819071632,0.9109177409329834,0.944713703056306,0.9537316595158642,,1.0422443757473354,0.9545703031917164
DAWN,0.967950850573046,0.9689273589302918,0.9817693008328822,0.9824844486544818,,0.10088408483423708,0.07284275654096685
