,PR1,PR2,ROC1,ROC2,/,%PR2,%ROC2
email-Eu,0.8626233450053433,0.8621271024016726,0.9331031133522216,0.9327190417123696,,-0.05752714745596019,-0.041160685711592274
email-Enron,0.7753041630597862,0.8090238826997617,0.8653100775193799,0.8819093360296596,,4.34922463293612,1.9183017673693847
contact-high-school,0.820004494755071,0.9521821795810096,0.9369857221842782,0.9762415845448338,,16.11914150122056,4.189590239330784
contact-primary-school,0.8859596785686764,0.9320597758686447,0.9558173102388898,0.97188013136289,,5.2034080574012185,1.6805325611842632
DAWN,0.8892674925936574,0.9177165707718676,0.948483546799886,0.9532407039198632,,3.199158680054184,0.5015539949034911
NDC-classes,0.4015183574880137,0.3975276897276418,0.5844525844525844,0.5607448107448108,,-0.9938942232525474,-4.056406685236761
tags-ask-ubuntu,0.8288830443024372,0.8669732560790971,0.9180608224353772,0.9268924104488476,,4.595366262886404,0.961982888022862
tags-math-sx,0.8932216778519977,0.9371887282115668,0.9556470460562132,0.9693812892807993,,4.922299967607164,1.4371669207020366
threads-ask-ubuntu,0.2710610901515973,0.3078592340449913,0.22486361188057866,0.3624681055709449,,13.575590606831028,61.19464707497703
