,PR1,PR2,ROC1,ROC2,/,%PR2,%ROC2
email-Eu,0.5654079558128268,0.8190691601062544,0.7526151386261427,0.9013688520028744,,44.86339494971661,19.764911140144385
email-Enron,0.3566564787514843,0.6808687402114527,0.5514829794405123,0.7849258510279744,,90.90323063663656,42.330022918258216
contact-high-school,0.5061395662261315,0.90693213870612,0.7416983770774384,0.9268871759846488,,79.1861769409514,24.968208726156554
contact-primary-school,0.4330257333427975,0.8780812338160634,0.6795712166957995,0.9126013030351184,,102.77807211077344,34.290752847413714
DAWN,0.6904708213933075,0.8032834272028819,0.8438794562741407,0.9054961648702547,,16.338504439902156,7.301600736693069
NDC-classes,0.7225232758257225,0.7210767956685955,0.8055555555555554,0.8032153032153032,,-0.20019841651106984,-0.290514083617508
tags-ask-ubuntu,0.6011576866926212,0.7354196871340115,0.7873937160107883,0.8375788179451507,,22.33390729478272,6.373571558154866
tags-math-sx,0.7217574984316707,0.8666140590785438,0.8359710307221581,0.9131958259525488,,20.069976544980328,9.237735805710836
threads-ask-ubuntu,0.226751378181322,0.23342876712982985,0.2743938134810711,0.30263119421360424,,2.9448063346138875,10.290822658974076
