,PR1,PR2,PR3,ROC1,ROC2,ROC3,/,%PR2,%PR3,%ROC2,%PR3.1,%ROC3
email-Eu,0.9399470295467436,0.9423699914424416,0.9498197747657288,0.6611267301038062,0.6724589100346021,0.7008109861591696,,0.25777642989802485,0.7905369855723035,1.7140707544855471,,4.216179710238144
email-Enron,0.9140068025162368,0.9140642815109588,0.926592183296673,0.34375,0.34375,0.40625,,0.006288683471909946,1.370571199325885,0.0,,18.181818181818183
DAWN,0.9758021770806776,0.9758402776825098,0.9760962265548959,0.8328195522951054,0.8329098704491358,0.8340314089306851,,0.0039045415891740187,0.026228562013670933,0.010844864746688115,,0.1346530424647871
NDC-classes,0.9477189754124546,0.9477189754124546,0.9477189754124546,0.5212765957446809,0.5212765957446809,0.5212765957446809,,0.0,0.0,0.0,,0.0
tags-ask-ubuntu,0.9415057550970556,0.9442934146433772,0.9451081078625064,0.6944702017344667,0.7024416307534396,0.7043582568107477,,0.2960852369972392,0.0862754316079562,1.1478432046564264,,0.27285200269983434
tags-math-sx,0.9776960212730494,0.97826698535094,0.9785580897592911,0.8475927153600415,0.8509804576466958,0.8525876717073255,,0.05839893642475321,0.029757153487787232,0.3996898776100539,,0.18886615388022968
threads-ask-ubuntu,0.9895169103100144,0.9901788386907864,0.9901788386907864,0.9075459424296634,0.914051065213856,0.9140510652138559,,0.06689409487348393,0.0,0.7167816503897525,,-1.2146181618041254e-14
