,PR1,PR2,PR3,ROC1,ROC2,ROC3,/,%PR2,%PR3,%ROC2,%PR3.1,%ROC3
email-Eu,0.8546465263906122,0.8906634221429364,0.8990669980381795,0.7129748209246798,0.7629178424137184,0.7702952029520296,,4.214244677788907,0.9435186947527376,7.0048787170724935,,0.966992791120298
email-Enron,0.6864221447041262,0.7150044916017695,0.6977316616549074,0.4934895833333334,0.51953125,0.46875,,4.1639604896434905,-2.4157652364067093,5.277044854881248,,-9.774436090225564
DAWN,0.8713035249533171,0.9331731722362586,0.9316912793402288,0.7667952737897791,0.8540811232284531,0.8546312375571796,,7.100814528009215,-0.15880148938257987,11.383201282302618,,0.06441007929634215
NDC-classes,0.9034680383753364,0.9040361309832216,0.9004587402161506,0.7316784869976359,0.7251773049645391,0.7133569739952719,,0.06287910404741323,-0.3957132513255015,-0.8885298869143604,,-1.6299918500407518
tags-ask-ubuntu,0.8053251621450185,0.8871920193681119,0.8907512499405531,0.6911184279965011,0.7486201333094814,0.7497425659216911,,10.165689720291054,0.4011792819074538,8.320094354837746,,0.14993353267800266
tags-math-sx,0.8903918850566025,0.9436445682852936,0.9453267377104532,0.7910013250464369,0.8596159587309269,0.8619174059533249,,5.980814080005429,0.17826303268150304,8.674401864050205,,0.2677296994108622
threads-ask-ubuntu,0.9635005792460214,0.988851593957874,0.9887065140382516,0.8856502242152466,0.9717946043944584,0.9713614157247488,,2.63113642668392,-0.014671556430600922,9.726681913905926,,-0.04457615505897741
