,PR1,PR2,ROC1,ROC2,/,%PR2,%ROC2
email-Eu,0.7578061798522849,0.7552451483452012,0.8922741389633836,0.8831014256264884,,-0.33795336791565395,-1.028015150988434
email-Enron,0.7232094249163146,0.7235401537066101,0.8727249747219413,0.8678800134816312,,0.04573070799425173,-0.5551532705768777
contact-high-school,0.8619217124703158,0.8645340884861394,0.9223338862328032,0.923992584642404,,0.3030873892637455,0.17983708875488508
contact-primary-school,0.8131366233432666,0.8264240534852452,0.9026563906986598,0.9171963557391812,,1.634095644019372,1.6107973300080842
DAWN,0.9657001221318532,0.9659162181510808,0.9821630804637028,0.9823065232476784,,0.02237713491748736,0.01460478273200704
NDC-classes,0.6686352976104344,0.6626342911478622,0.7582417582417582,0.7456247456247456,,-0.8975006979168683,-1.663982823403117
tags-ask-ubuntu,0.885868543326519,0.8858593234426643,0.9395328037605222,0.9398528354194864,,-0.0010407733657744377,0.034062850991808134
tags-math-sx,0.9131427505936679,0.9137081386991752,0.954639734717332,0.9556672014567512,,0.06191672716445741,0.10762874224205073
threads-ask-ubuntu,0.5848543940805092,0.7074241269646937,0.4852499615266235,0.830004270544783,,20.95730734431516,71.04674628588185
