,PR1,PR2,ROC1,ROC2,/,%PR2,%ROC2
email-Eu,0.5420967079912338,0.5789139971952101,0.8717815906181519,0.8690860018710616,,6.791645966714058,-0.3092045962084323
email-Enron,0.5407978885413187,0.6714276496198346,0.8721030222949306,0.8381467732125256,,24.15500575101364,-3.8936052523989058
contact-high-school,0.5749029766900396,0.7052632841151532,0.8690366041717393,0.9273273273273273,,22.67518393723635,6.707510693539038
contact-primary-school,0.8685631664557809,0.9508978479697324,0.9755465729117008,0.9870474468986704,,9.479412055881069,1.178915933520554
DAWN,0.47606030705363184,,0.8898189567000832,,,,
