,PR1,PR2,ROC1,ROC2,/,%PR2,%ROC2
email-Eu,0.9302522807193554,0.9302522807193554,0.9232781168265038,0.9232781168265038,,0.0,0.0
email-Enron,0.9209382151029748,0.9209382151029748,0.9130434782608696,0.9130434782608696,,0.0,0.0
contact-high-school,0.9754299754299754,0.9754299754299754,0.972972972972973,0.972972972972973,,0.0,0.0
contact-primary-school,0.9712703857495336,0.9712703857495336,0.9683908045977012,0.9683908045977012,,0.0,0.0
DAWN,0.9512694328025456,0.9512694328025456,0.9463962453905465,0.9463962453905465,,0.0,0.0
NDC-classes,0.6970134874759153,0.6970134874759153,0.6666666666666666,0.6666666666666666,,0.0,0.0
tags-ask-ubuntu,0.8302679727671297,0.8302679727671297,0.8132948567342562,0.8132948567342562,,0.0,0.0
tags-math-sx,0.9071295031653012,0.9071295031653012,0.8978424899787786,0.8978424899787786,,1.2238859178884482e-14,0.0
threads-ask-ubuntu,0.5480444500170323,0.5480444500170323,0.5028508771929825,0.5028508771929825,,0.0,0.0
