,PR1,PR2,ROC1,ROC2,/,%PR2,%ROC2
email-Eu,0.9906728643804558,0.9902611659999184,0.9053671668272688,0.90421236176754,,-0.04155745002613012,-0.12755102040817426
email-Enron,0.9861736261624848,0.9817551813952168,0.8454106280193238,0.8091787439613527,,-0.4480392346793558,-4.285714285714291
contact-high-school,0.9942013722581204,0.9942013722581204,0.9475839475839476,0.9475839475839476,,0.0,-1.1716355341981987e-14
contact-primary-school,0.9950397433757612,0.9950397433757612,0.948106828938472,0.948106828938472,,0.0,-1.1709893766593736e-14
DAWN,0.9917140739807658,0.9917127833257492,0.9148507763532812,0.91483796060529,,-0.00013014386408245868,-0.001400856655798409
NDC-classes,0.9169914378262852,0.93019887279504,0.4656084656084656,0.5449735449735449,,1.4403007949630264,17.045454545454533
tags-ask-ubuntu,0.9773054602596012,0.9773094033918814,0.7767908834570154,0.7768132108842071,,0.00040346978918967156,0.002874316327218338
tags-math-sx,0.9874517365333456,0.9874684044707216,0.8716648836950068,0.8717763541810329,,0.001687974891258649,0.012788227231729787
threads-ask-ubuntu,0.9561556708881254,0.9561723087685464,0.5228531855955679,0.5230532471529701,,0.0017400807135935625,0.038263428991882086
